[1/661] g10_elar_2.6A_2025_q14
[2/661] g10_elar_2.6B_2025_q13
[3/661] g10_elar_2.6C_2025_q12
[4/661] g10_elar_2.6D_2025_q11
[5/661] g10_elar_2.4H_2025_q19
[6/661] g10_elar_2.4H_2025_q20
[7/661] g10_elar_2.4H_2025_q21
[8/661] g10_elar_2.4H_2025_q22
[9/661] g10_elar_2.4F_2023_q25
[10/661] g10_elar_2.5C_2023_q23
[11/661] g10_elar_2.5D_2023_q27
[12/661] g10_elar_2.6A_2023_q26
[13/661] g10_elar_2.6B_2023_q29
[14/661] g10_elar_2.8A_2023_q24
[15/661] g10_elar_2.8D_2023_q28
[16/661] g10_elar_2.10B_2023_q30
[17/661] g10_elar_2.2A_2022_q27
[18/661] g10_elar_2.4F_2022_q30
[19/661] g10_elar_2.4F_2022_q33
[20/661] g10_elar_2.5C_2022_q28
[21/661] g10_elar_2.5C_2022_q31
[22/661] g10_elar_2.6A_2022_q32
[23/661] g10_elar_2.6B_2022_q29
[24/661] g10_elar_2.6C_2022_q26
[25/661] g10_elar_2.4H_2022_q34
[26/661] g10_elar_2.4H_2022_q35
[27/661] g10_elar_2.4H_2022_q36
[28/661] g10_elar_2.4H_2022_q37
[29/661] g10_elar_2.4H_2022_q38
[30/661] g10_elar_2.2B_2021_q47
[31/661] g10_elar_2.4F_2021_q46
[32/661] g10_elar_2.4F_2021_q51
[33/661] g10_elar_2.4F_2021_q52
[34/661] g10_elar_2.5C_2021_q48
[35/661] g10_elar_2.6C_2021_q49
[36/661] g10_elar_2.6C_2021_q50
[37/661] g10_elar_2.4F_2019_q24
[38/661] g10_elar_2.4F_2019_q25
[39/661] g10_elar_2.4F_2019_q28
[40/661] g10_elar_2.4F_2019_q30
[41/661] g10_elar_2.4F_2019_q31
[42/661] g10_elar_2.4F_2019_q32
[43/661] g10_elar_2.4F_2019_q33
[44/661] g10_elar_2.4F_2019_q34
[45/661] g10_elar_2.4F_2019_q35
[46/661] g10_elar_2.4F_2019_q36
[47/661] g10_elar_2.4F_2018_q46
[48/661] g10_elar_2.4F_2018_q49
[49/661] g10_elar_2.4F_2018_q50
[50/661] g10_elar_2.4F_2018_q51
[51/661] g10_elar_2.4F_2018_q52
[52/661] g10_elar_2.6C_2018_q48
[53/661] g10_elar_2.2B_2017_q45
[54/661] g10_elar_2.4F_2017_q46
[55/661] g10_elar_2.4F_2017_q47
[56/661] g10_elar_2.4F_2017_q48
[57/661] g10_elar_2.4F_2017_q49
[58/661] g10_elar_2.4F_2017_q51
[59/661] g10_elar_2.4F_2017_q52
[60/661] g10_elar_2.8E_2017_q50
[61/661] g10_elar_2.4F_2016_q24
[62/661] g10_elar_2.4F_2016_q27
[63/661] g10_elar_2.4F_2016_q28
[64/661] g10_elar_2.6C_2016_q23
[65/661] g10_elar_2.4F_2016_q35
[66/661] g10_elar_2.4F_2016_q36
[67/661] g10_elar_2.4F_2016_q37
[68/661] g10_elar_2.4F_2016_q38
[69/661] g10_elar_2.2A_2015_q39
[70/661] g10_elar_2.4F_2015_q41
[71/661] g10_elar_2.4F_2015_q42
[72/661] g10_elar_2.4F_2015_q44
[73/661] g10_elar_2.4F_2015_q45
[74/661] g10_elar_2.6C_2015_q43
[75/661] g10_elar_2.2B_2014_q23
[76/661] g10_elar_2.4F_2014_q25
[77/661] g10_elar_2.4F_2014_q27
[78/661] g10_elar_2.4F_2014_q28
[79/661] g10_elar_2.6C_2014_q24
[80/661] g10_elar_2.4F_2014_q34
[81/661] g10_elar_2.4F_2014_q35
[82/661] g10_elar_2.4F_2014_q36
[83/661] g10_elar_2.4F_2014_q37
[84/661] g10_elar_2.2B_2013_q32
