page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g11_social-studies_US.3A_2016_q9,US.3(A),2016,9
5,1,yes,g11_social-studies_US.3B_2024_q58,US.3(B),2024,58
6,1,yes,g11_social-studies_US.12A_2025_q13,US.12(A),2025,13
7,1,yes,g11_social-studies_US.12A_2019_q36,US.12(A),2019,36
8,1,yes,g11_social-studies_US.12A_2018_q37,US.12(A),2018,37
9,1,yes,g11_social-studies_US.13A_2024_q23,US.13(A),2024,23
10,1,yes,g11_social-studies_US.13A_2019_q29,US.13(A),2019,29
11,1,yes,g11_social-studies_US.13A_2015_q21,US.13(A),2015,21
12,1,yes,g11_social-studies_US.15A_2025_q43,US.15(A),2025,43
13,1,yes,g11_social-studies_US.15A_2024_q49,US.15(A),2024,49
14,2,yes,g11_social-studies_US.15A_2022_q8; g11_social-studies_US.15A_2021_q28,US.15(A); US.15(A),2022; 2021,8; 28
15,1,yes,g11_social-studies_US.15A_2017_q45,US.15(A),2017,45
16,1,yes,g11_social-studies_US.15A_2013_q64,US.15(A),2013,64
17,1,yes,g11_social-studies_US.25B_2023_q47,US.25(B),2023,47
18,1,yes,g11_social-studies_US.25B_2022_q54,US.25(B),2022,54
19,1,yes,g11_social-studies_US.25B_2021_q18,US.25(B),2021,18
20,1,yes,g11_social-studies_US.25B_2017_q58,US.25(B),2017,58
21,1,yes,g11_social-studies_US.27A_2019_q50,US.27(A),2019,50
22,1,yes,g11_social-studies_US.27A_2016_q57,US.27(A),2016,57
23,1,yes,g11_social-studies_US.2A_2019_q65,US.2(A),2019,65
24,1,yes,g11_social-studies_US.3C_2022_q20,US.3(C),2022,20
25,1,yes,g11_social-studies_US.3C_2021_q45,US.3(C),2021,45
26,1,yes,g11_social-studies_US.3C_2019_q22,US.3(C),2019,22
27,1,yes,g11_social-studies_US.3C_2018_q40,US.3(C),2018,40
28,1,yes,g11_social-studies_US.3C_2017_q47,US.3(C),2017,47
29,1,yes,g11_social-studies_US.3C_2016_q1,US.3(C),2016,1
30,1,yes,g11_social-studies_US.3C_2014_q40,US.3(C),2014,40
31,1,yes,g11_social-studies_US.3C_2013_q52,US.3(C),2013,52
32,1,yes,g11_social-studies_US.13B_2025_q46,US.13(B),2025,46
33,2,yes,g11_social-studies_US.13B_2022_q21; g11_social-studies_US.13B_2021_q20,US.13(B); US.13(B),2022; 2021,21; 20
34,1,yes,g11_social-studies_US.13B_2017_q25,US.13(B),2017,25
35,1,yes,g11_social-studies_US.13B_2016_q19,US.13(B),2016,19
36,1,yes,g11_social-studies_US.13B_2015_q26,US.13(B),2015,26
37,1,yes,g11_social-studies_US.13B_2013_q58,US.13(B),2013,58
38,1,yes,g11_social-studies_US.14A_2022_q58,US.14(A),2022,58
39,1,yes,g11_social-studies_US.15C_2024_q15,US.15(C),2024,15
40,1,yes,g11_social-studies_US.25B_2024_q57,US.25(B),2024,57
41,1,yes,g11_social-studies_US.25B_2019_q38,US.25(B),2019,38
42,1,yes,g11_social-studies_US.2A_2017_q62,US.2(A),2017,62
43,1,yes,g11_social-studies_US.2A_2016_q33,US.2(A),2016,33
44,1,yes,g11_social-studies_US.2A_2013_q47,US.2(A),2013,47
45,2,yes,g11_social-studies_US.3A_2023_q60; g11_social-studies_US.3A_2021_q58,US.3(A); US.3(A),2023; 2021,60; 58
46,1,yes,g11_social-studies_US.3A_2019_q26,US.3(A),2019,26
47,1,yes,g11_social-studies_US.3A_2018_q58,US.3(A),2018,58
48,1,yes,g11_social-studies_US.3A_2015_q56,US.3(A),2015,56
49,1,yes,g11_social-studies_US.3A_2014_q46,US.3(A),2014,46
