page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,0,no,,,,
5,2,yes,g6_elar_6.7C_2024_q16; g6_elar_6.8A_2024_q19,6.7(C); 6.8(A),2024; 2024,16; 19
6,1,yes,g6_elar_6.9D_2024_q17,6.9(D),2024,17
7,1,yes,g6_elar_6.9F_2024_q18,6.9(F),2024,18
8,0,no,,,,
9,0,no,,,,
10,2,yes,g6_elar_6.5E_2024_q23; g6_elar_6.5E_2024_q24,6.5(E); 6.5(E),2024; 2024,23; 24
11,1,yes,g6_elar_6.5E_2024_q25,6.5(E),2024,25
12,1,yes,g6_elar_6.5E_2024_q26,6.5(E),2024,26
13,1,yes,g6_elar_6.6B_2024_q27,6.6(B),2024,27
14,0,no,,,,
15,2,yes,g6_elar_6.5F_2023_q5; g6_elar_6.6C_2023_q6,6.5(F); 6.6(C),2023; 2023,5; 6
16,1,yes,g6_elar_6.6D_2023_q8,6.6(D),2023,8
17,2,yes,g6_elar_6.7B_2023_q3; g6_elar_6.7C_2023_q1,6.7(B); 6.7(C),2023; 2023,3; 1
18,1,yes,g6_elar_6.9A_2023_q7,6.9(A),2023,7
19,1,yes,g6_elar_6.9D_2023_q2,6.9(D),2023,2
20,1,yes,g6_elar_6.9F_2023_q4,6.9(F),2023,4
21,0,no,,,,
22,2,yes,g6_elar_6.2A_2022_q34; g6_elar_6.5C_2022_q40,6.2(A); 6.5(C),2022; 2022,34; 40
23,2,yes,g6_elar_6.6C_2022_q35; g6_elar_6.6D_2022_q37,6.6(C); 6.6(D),2022; 2022,35; 37
24,2,yes,g6_elar_6.7C_2022_q39; g6_elar_6.8A_2022_q36,6.7(C); 6.8(A),2022; 2022,39; 36
25,1,yes,g6_elar_6.9A_2022_q38,6.9(A),2022,38
26,0,no,,,,
27,2,yes,g6_elar_6.2B_2021_q4; g6_elar_6.6D_2021_q7,6.2(B); 6.6(D),2021; 2021,4; 7
28,2,yes,g6_elar_6.7C_2021_q1; g6_elar_6.7C_2021_q6,6.7(C); 6.7(C),2021; 2021,1; 6
29,2,yes,g6_elar_6.9D_2021_q2; g6_elar_6.9D_2021_q5,6.9(D); 6.9(D),2021; 2021,2; 5
30,1,yes,g6_elar_6.9E_2021_q3,6.9(E),2021,3
31,0,no,,,,
32,1,yes,g6_elar_6.2A_2019_q3,6.2(A),2019,3
33,1,yes,g6_elar_6.5F_2019_q5,6.5(F),2019,5
34,1,yes,g6_elar_6.5F_2019_q7,6.5(F),2019,7
35,2,yes,g6_elar_6.6D_2019_q4; g6_elar_6.7A_2019_q2,6.6(D); 6.7(A),2019; 2019,4; 2
36,1,yes,g6_elar_6.7C_2019_q6,6.7(C),2019,6
37,1,yes,g6_elar_6.9D_2019_q1,6.9(D),2019,1
38,0,no,,,,
39,1,yes,g6_elar_6.2B_2018_q1,6.2(B),2018,1
40,1,yes,g6_elar_6.5F_2018_q3,6.5(F),2018,3
41,1,yes,g6_elar_6.7A_2018_q6,6.7(A),2018,6
42,1,yes,g6_elar_6.7C_2018_q4,6.7(C),2018,4
43,1,yes,g6_elar_6.9D_2018_q2,6.9(D),2018,2
44,1,yes,g6_elar_6.9E_2018_q5,6.9(E),2018,5
45,0,no,,,,
46,1,yes,g6_elar_6.5F_2018_q31,6.5(F),2018,31
47,2,yes,g6_elar_6.6D_2018_q33; g6_elar_6.7A_2018_q29,6.6(D); 6.7(A),2018; 2018,33; 29
48,1,yes,g6_elar_6.7C_2018_q32,6.7(C),2018,32
49,0,no,,,,
50,1,yes,g6_elar_6.5F_2017_q12,6.5(F),2017,12
