[1/413] g8_math_8.2A_2023_q1
[2/413] g8_math_8.2A_2022_q21
[3/413] g8_math_8.2A_2018_q15
[4/413] g8_math_8.2A_2015_q1
[5/413] g8_math_8.2B_2023_q9
[6/413] g8_math_8.2B_2021_q39
[7/413] g8_math_8.2B_2019_q33
[8/413] g8_math_8.2B_2018_q41
[9/413] g8_math_8.2B_2017_q31
[10/413] g8_math_8.2B_2016_q48
[11/413] g8_math_8.2C_2025_q24
[12/413] g8_math_8.2C_2024_q27
[13/413] g8_math_8.2C_2022_q9
[14/413] g8_math_8.2C_2021_q22
[15/413] g8_math_8.2C_2019_q29
[16/413] g8_math_8.2C_2017_q18
[17/413] g8_math_8.2C_2016_q21
[18/413] g8_math_8.2D_2025_q4
[19/413] g8_math_8.2D_2025_q38
[20/413] g8_math_8.2D_2024_q2
[21/413] g8_math_8.2D_2024_q37
[22/413] g8_math_8.2D_2023_q18
[23/413] g8_math_8.2D_2023_q30
[24/413] g8_math_8.2D_2022_q7
[25/413] g8_math_8.2D_2022_q41
[26/413] g8_math_8.2D_2021_q16
[27/413] g8_math_8.2D_2021_q33
[28/413] g8_math_8.2D_2019_q17
[29/413] g8_math_8.2D_2019_q27
[30/413] g8_math_8.2D_2018_q3
[31/413] g8_math_8.2D_2018_q22
[32/413] g8_math_8.2D_2017_q3
[33/413] g8_math_8.2D_2017_q29
[34/413] g8_math_8.2D_2016_q1
[35/413] g8_math_8.2D_2016_q30
[36/413] g8_math_8.2D_2016_q37
[37/413] g8_math_8.2D_2015_q2
[38/413] g8_math_8.4A_2024_q36
[39/413] g8_math_8.4A_2023_q5
[40/413] g8_math_8.4A_2021_q15
[41/413] g8_math_8.4A_2019_q18
[42/413] g8_math_8.4A_2017_q30
[43/413] g8_math_8.4A_2016_q22
[44/413] g8_math_8.4A_2015_q3
[45/413] g8_math_8.4B_2025_q1
[46/413] g8_math_8.4B_2025_q28
[47/413] g8_math_8.4B_2024_q11
[48/413] g8_math_8.4B_2024_q40
[49/413] g8_math_8.4B_2023_q16
[50/413] g8_math_8.4B_2023_q26
[51/413] g8_math_8.4B_2022_q5
[52/413] g8_math_8.4B_2022_q39
[53/413] g8_math_8.4B_2021_q24
[54/413] g8_math_8.4B_2021_q42
[55/413] g8_math_8.4B_2019_q1
[56/413] g8_math_8.4B_2019_q20
[57/413] g8_math_8.4B_2018_q20
[58/413] g8_math_8.4B_2018_q42
[59/413] g8_math_8.4B_2017_q4
[60/413] g8_math_8.4B_2017_q28
[61/413] g8_math_8.4B_2016_q5
[62/413] g8_math_8.4B_2016_q34
[63/413] g8_math_8.4B_2016_q42
[64/413] g8_math_8.4B_2015_q4
[65/413] g8_math_8.4C_2025_q5
[66/413] g8_math_8.4C_2025_q30
[67/413] g8_math_8.4C_2024_q15
[68/413] g8_math_8.4C_2024_q29
[69/413] g8_math_8.4C_2023_q24
[70/413] g8_math_8.4C_2023_q32
[71/413] g8_math_8.4C_2022_q11
[72/413] g8_math_8.4C_2022_q16
[73/413] g8_math_8.4C_2021_q26
[74/413] g8_math_8.4C_2021_q34
[75/413] g8_math_8.4C_2019_q9
[76/413] g8_math_8.4C_2019_q35
[77/413] g8_math_8.4C_2018_q18
[78/413] g8_math_8.4C_2018_q38
[79/413] g8_math_8.4C_2017_q6
[80/413] g8_math_8.4C_2017_q39
