[1/652] g9_elar_1.2B_2025_q11
[2/652] g9_elar_1.6A_2025_q12
[3/652] g9_elar_1.6D_2025_q10
[4/652] g9_elar_1.8A_2025_q13
[5/652] g9_elar_1.4C_2025_q15
[6/652] g9_elar_1.4F_2025_q17
[7/652] g9_elar_1.5C_2025_q16
[8/652] g9_elar_1.8E_2025_q14
[9/652] g9_elar_1.4H_2025_q18
[10/652] g9_elar_1.4H_2025_q19
[11/652] g9_elar_1.4H_2025_q20
[12/652] g9_elar_1.4H_2025_q21
[13/652] g9_elar_1.2B_2024_q11
[14/652] g9_elar_1.6B_2024_q10
[15/652] g9_elar_1.6C_2024_q13
[16/652] g9_elar_1.8E_2024_q12
[17/652] g9_elar_1.4H_2024_q18
[18/652] g9_elar_1.4H_2024_q19
[19/652] g9_elar_1.4H_2024_q20
[20/652] g9_elar_1.4H_2024_q21
[21/652] g9_elar_1.4E_2024_q28
[22/652] g9_elar_1.4F_2024_q23
[23/652] g9_elar_1.5B_2024_q30
[24/652] g9_elar_1.6A_2024_q22
[25/652] g9_elar_1.6D_2024_q24
[26/652] g9_elar_1.8A_2024_q25
[27/652] g9_elar_1.8B_2024_q27
[28/652] g9_elar_1.8D_2024_q26
[29/652] g9_elar_1.8E_2024_q29
[30/652] g9_elar_1.2B_2023_q9
[31/652] g9_elar_1.6A_2023_q10
[32/652] g9_elar_1.6C_2023_q11
[33/652] g9_elar_1.8F_2023_q12
[34/652] g9_elar_1.4H_2023_q17
[35/652] g9_elar_1.4H_2023_q18
[36/652] g9_elar_1.4H_2023_q19
[37/652] g9_elar_1.4H_2023_q20
[38/652] g9_elar_1.4F_2021_q19
[39/652] g9_elar_1.4F_2021_q20
[40/652] g9_elar_1.4F_2021_q21
[41/652] g9_elar_1.4F_2021_q22
[42/652] g9_elar_1.4F_2021_q23
[43/652] g9_elar_1.6B_2021_q24
[44/652] g9_elar_1.4F_2021_q33
[45/652] g9_elar_1.4F_2021_q34
[46/652] g9_elar_1.4F_2021_q35
[47/652] g9_elar_1.4F_2021_q36
[48/652] g9_elar_1.4F_2021_q37
[49/652] g9_elar_1.2B_2019_q40
[50/652] g9_elar_1.5C_2019_q39
[51/652] g9_elar_1.5C_2019_q41
[52/652] g9_elar_1.5C_2019_q42
