page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g9_math_A.2A_2025_q16,A.2(A),2025,16
5,1,yes,g9_math_A.2A_2025_q37,A.2(A),2025,37
6,1,yes,g9_math_A.2A_2024_q23,A.2(A),2024,23
7,1,yes,g9_math_A.2A_2024_q49,A.2(A),2024,49
8,1,yes,g9_math_A.2A_2023_q7,A.2(A),2023,7
9,1,yes,g9_math_A.2A_2023_q46,A.2(A),2023,46
10,1,yes,g9_math_A.2A_2022_q18,A.2(A),2022,18
11,1,yes,g9_math_A.2A_2022_q53,A.2(A),2022,53
12,1,yes,g9_math_A.2A_2021_q22,A.2(A),2021,22
13,1,yes,g9_math_A.2A_2021_q33,A.2(A),2021,33
14,1,yes,g9_math_A.2A_2019_q11,A.2(A),2019,11
15,2,yes,g9_math_A.2A_2018_q13; g9_math_A.2A_2018_q47,A.2(A); A.2(A),2018; 2018,13; 47
16,1,yes,g9_math_A.2A_2017_q5,A.2(A),2017,5
17,1,yes,g9_math_A.2A_2017_q44,A.2(A),2017,44
18,1,yes,g9_math_A.2A_2016_q30,A.2(A),2016,30
19,1,yes,g9_math_A.2A_2016_q44,A.2(A),2016,44
20,1,yes,g9_math_A.2B_2025_q8,A.2(B),2025,8
21,1,yes,g9_math_A.2B_2022_q25,A.2(B),2022,25
22,2,yes,g9_math_A.2B_2021_q6; g9_math_A.2B_2019_q6,A.2(B); A.2(B),2021; 2019,6; 6
23,2,yes,g9_math_A.2B_2017_q23; g9_math_A.2B_2016_q46,A.2(B); A.2(B),2017; 2016,23; 46
24,1,yes,g9_math_A.2C_2025_q6,A.2(C),2025,6
25,1,yes,g9_math_A.2C_2025_q42,A.2(C),2025,42
26,1,yes,g9_math_A.2C_2024_q14,A.2(C),2024,14
27,2,yes,g9_math_A.2C_2024_q36; g9_math_A.2C_2023_q1,A.2(C); A.2(C),2024; 2023,36; 1
28,2,yes,g9_math_A.2C_2023_q34; g9_math_A.2C_2022_q15,A.2(C); A.2(C),2023; 2022,34; 15
29,1,yes,g9_math_A.2C_2022_q38,A.2(C),2022,38
30,2,yes,g9_math_A.2C_2021_q2; g9_math_A.2C_2021_q44,A.2(C); A.2(C),2021; 2021,2; 44
31,1,yes,g9_math_A.2C_2019_q23,A.2(C),2019,23
32,2,yes,g9_math_A.2C_2019_q32; g9_math_A.2C_2018_q1,A.2(C); A.2(C),2019; 2018,32; 1
33,1,yes,g9_math_A.2C_2018_q43,A.2(C),2018,43
34,2,yes,g9_math_A.2C_2017_q33; g9_math_A.2C_2017_q50,A.2(C); A.2(C),2017; 2017,33; 50
35,2,yes,g9_math_A.2C_2016_q5; g9_math_A.2C_2016_q35,A.2(C); A.2(C),2016; 2016,5; 35
36,2,yes,g9_math_A.2D_2024_q3; g9_math_A.2D_2022_q7,A.2(D); A.2(D),2024; 2022,3; 7
37,2,yes,g9_math_A.2D_2021_q42; g9_math_A.2D_2019_q54,A.2(D); A.2(D),2021; 2019,42; 54
38,2,yes,g9_math_A.2D_2018_q10; g9_math_A.2D_2017_q27,A.2(D); A.2(D),2018; 2017,10; 27
39,1,yes,g9_math_A.2D_2016_q42,A.2(D),2016,42
40,1,yes,g9_math_A.2E_2025_q22,A.2(E),2025,22
41,1,yes,g9_math_A.2E_2024_q28,A.2(E),2024,28
42,2,yes,g9_math_A.2E_2023_q44; g9_math_A.2E_2021_q19,A.2(E); A.2(E),2023; 2021,44; 19
43,1,yes,g9_math_A.2E_2019_q45,A.2(E),2019,45
