page_number,segment_count,has_items,item_ids,standards,years,question_numbers
1,0,no,,,,
2,0,no,,,,
3,0,no,,,,
4,1,yes,g9_science_B.5A_2025_q8,B.5(A),2025,8
5,1,yes,g9_science_B.5A_2025_q44,B.5(A),2025,44
6,1,yes,g9_science_B.5A_2024_q18,B.5(A),2024,18
7,1,yes,g9_science_B.5A_2024_q41,B.5(A),2024,41
8,1,yes,g9_science_B.5A_2023_q16,B.5(A),2023,16
9,1,yes,g9_science_B.5A_2023_q42,B.5(A),2023,42
10,1,yes,g9_science_B.5A_2022_q31,B.5(A),2022,31
11,1,yes,g9_science_B.5A_2021_q12,B.5(A),2021,12
12,1,yes,g9_science_B.5A_2021_q31,B.5(A),2021,31
13,1,yes,g9_science_B.5A_2019_q40,B.5(A),2019,40
14,1,yes,g9_science_B.5A_2019_q50,B.5(A),2019,50
15,1,yes,g9_science_B.5B_2025_q3,B.5(B),2025,3
16,1,yes,g9_science_B.5B_2025_q9,B.5(B),2025,9
17,1,yes,g9_science_B.5B_2024_q23,B.5(B),2024,23
18,1,yes,g9_science_B.5B_2023_q11,B.5(B),2023,11
19,1,yes,g9_science_B.5B_2022_q21,B.5(B),2022,21
20,1,yes,g9_science_B.5B_2021_q14,B.5(B),2021,14
21,1,yes,g9_science_B.5B_2019_q6,B.5(B),2019,6
22,1,yes,g9_science_B.5D_2025_q21,B.5(D),2025,21
23,1,yes,g9_science_B.5D_2025_q37,B.5(D),2025,37
24,1,yes,g9_science_B.5D_2022_q32,B.5(D),2022,32
25,1,yes,g9_science_B.5D_2021_q30,B.5(D),2021,30
26,1,yes,g9_science_B.5D_2019_q13,B.5(D),2019,13
27,0,no,,,,
28,1,yes,g9_science_B.6A_2025_q42,B.6(A),2025,42
29,1,yes,g9_science_B.6A_2025_q45,B.6(A),2025,45
30,1,yes,g9_science_B.6A_2024_q7,B.6(A),2024,7
31,1,yes,g9_science_B.6A_2024_q27,B.6(A),2024,27
32,1,yes,g9_science_B.6A_2021_q8,B.6(A),2021,8
33,1,yes,g9_science_B.6A_2021_q39,B.6(A),2021,39
34,1,yes,g9_science_B.6A_2019_q46,B.6(A),2019,46
35,1,yes,g9_science_B.6B_2025_q31,B.6(B),2025,31
36,1,yes,g9_science_B.6B_2024_q42,B.6(B),2024,42
37,1,yes,g9_science_B.6B_2023_q4,B.6(B),2023,4
38,1,yes,g9_science_B.6B_2022_q10,B.6(B),2022,10
39,1,yes,g9_science_B.6B_2021_q23,B.6(B),2021,23
40,1,yes,g9_science_B.6B_2019_q49,B.6(B),2019,49
41,1,yes,g9_science_B.6C_2025_q13,B.6(C),2025,13
42,1,yes,g9_science_B.6C_2024_q9,B.6(C),2024,9
43,1,yes,g9_science_B.6C_2023_q31,B.6(C),2023,31
44,1,yes,g9_science_B.6C_2022_q37,B.6(C),2022,37
45,1,yes,g9_science_B.6C_2021_q2,B.6(C),2021,2
46,1,yes,g9_science_B.6C_2019_q27,B.6(C),2019,27
47,0,no,,,,
48,1,yes,g9_science_B.7A_2025_q2,B.7(A),2025,2
49,1,yes,g9_science_B.7A_2025_q22,B.7(A),2025,22
50,1,yes,g9_science_B.7A_2024_q1,B.7(A),2024,1
51,1,yes,g9_science_B.7A_2024_q32,B.7(A),2024,32
52,1,yes,g9_science_B.7A_2023_q32,B.7(A),2023,32
53,1,yes,g9_science_B.7A_2023_q45,B.7(A),2023,45
54,1,yes,g9_science_B.7A_2022_q20,B.7(A),2022,20
55,1,yes,g9_science_B.7A_2022_q28,B.7(A),2022,28
56,1,yes,g9_science_B.7A_2021_q11,B.7(A),2021,11
57,1,yes,g9_science_B.7A_2021_q34,B.7(A),2021,34
